Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs G2 Esports,Breeze,G2 Esports,9,0,4,0,6,0,1,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,FURIA vs NRG,Lotus,FURIA,2,2,0,0,12,1,0,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,FURIA vs NRG,Lotus,Mega Minors,12,1,0,0,2,2,0,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,FURIA vs NRG,Haven,FURIA,5,1,2,0,5,3,5,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,FURIA vs NRG,Haven,Mega Minors,5,3,5,0,5,1,2,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs LOUD,Breeze,100 Thieves,11,0,1,1,2,0,3,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs LOUD,Breeze,LOUD,2,0,3,0,11,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs LOUD,Split,100 Thieves,11,0,1,1,3,1,0,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs LOUD,Split,LOUD,3,1,0,0,11,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs NRG,Breeze,KRÜ Esports,7,0,1,0,7,3,3,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs NRG,Breeze,Mega Minors,7,3,3,0,7,0,1,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs NRG,Haven,KRÜ Esports,4,0,0,0,6,0,7,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs NRG,Haven,Mega Minors,6,0,7,0,4,0,0,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,Fracture,MIBR,7,0,4,0,10,2,1,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,Fracture,100 Thieves,10,2,1,0,7,0,4,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,Breeze,MIBR,6,0,1,0,8,5,0,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,Breeze,100 Thieves,8,5,0,0,6,0,1,0
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Ascent,LEVIATÁN,12,0,1,0,3,3,1,0
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Ascent,G2 Esports,3,3,1,0,12,0,1,0
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Pearl,LEVIATÁN,4,4,1,0,9,3,1,0
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Pearl,G2 Esports,9,3,1,0,4,4,1,0
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Split,LEVIATÁN,10,1,2,0,5,0,0,0
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Split,G2 Esports,5,0,0,0,10,1,2,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Fracture,Mega Minors,10,0,3,0,4,1,3,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Fracture,100 Thieves,4,1,3,1,10,0,3,0
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Breeze,Mega Minors,9,2,2,0,7,3,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Breeze,100 Thieves,7,3,0,1,9,2,2,0
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Lotus,G2 Esports,7,2,2,2,3,3,2,0
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Lotus,Mega Minors,3,3,2,0,7,2,2,2
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Breeze,G2 Esports,4,2,0,0,3,4,5,1
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Breeze,Mega Minors,3,4,5,1,4,2,0,0
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Pearl,G2 Esports,8,2,1,2,5,0,2,0
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Pearl,Mega Minors,5,0,2,0,8,2,1,2
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Haven,G2 Esports,8,0,1,1,9,0,4,0
