Tournament,Stage,Match Type,Match Name,Team,Action,Map
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,100 Thieves,ban,Split
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,LEVIATÁN,ban,Lotus
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,G2 Esports,ban,Fracture
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,LEVIATÁN,pick,Ascent
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,G2 Esports,pick,Pearl
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,LEVIATÁN,ban,Breeze
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,G2 Esports,ban,Haven
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Mega Minors,ban,Split
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,100 Thieves,ban,Lotus
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Mega Minors,pick,Fracture
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,100 Thieves,pick,Breeze
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Mega Minors,ban,Ascent
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,100 Thieves,ban,Haven
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,G2 Esports,ban,Fracture
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Mega Minors,ban,Split
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,G2 Esports,pick,Lotus
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Mega Minors,pick,Breeze
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,G2 Esports,pick,Pearl
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Mega Minors,pick,Haven
