Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,13,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,14,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,14,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,15,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,15,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,16,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,16,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,17,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,17,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,18,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,18,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,19,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,19,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,20,G2 Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,20,MIBR,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,21,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,21,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,22,G2 Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,22,MIBR,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,23,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,23,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,24,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,24,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,25,MIBR,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,25,G2 Esports,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,26,G2 Esports,Time Expiry (No Plant),Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,26,MIBR,Time Expiry (Failed to Plant),Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,27,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,27,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,28,G2 Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,28,MIBR,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,29,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,29,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,30,MIBR,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,30,G2 Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,1,100 Thieves,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,1,Evil Geniuses,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,2,100 Thieves,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,2,Evil Geniuses,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,3,100 Thieves,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,3,Evil Geniuses,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,4,Evil Geniuses,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,4,100 Thieves,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,5,100 Thieves,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,5,Evil Geniuses,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,6,100 Thieves,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,6,Evil Geniuses,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,7,Evil Geniuses,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,7,100 Thieves,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,8,Evil Geniuses,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,8,100 Thieves,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,9,Evil Geniuses,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,9,100 Thieves,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,10,Evil Geniuses,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,10,100 Thieves,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,11,100 Thieves,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,11,Evil Geniuses,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,12,Evil Geniuses,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,12,100 Thieves,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,13,Evil Geniuses,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,13,100 Thieves,Eliminated,Loss
